State or Territory;2018;2017;2016;2015;2014
District of Columbia;997.1;1002.7;1203.5;1269.1;1242.6
Alaska;891.7;856.7;804.6;730.2;635.5
New Mexico;842.8;778.6;699.4;656.1;597.7
Tennessee;630.4;655.0;638.5;612.1;610.7
Arkansas;561.6;566.0;554.3;521.3;480.2
Arizona;475.7;505.7;471.0;410.2;392.7
Louisiana;543.3;556.3;565.0;539.7;515.9
Missouri;501.4;531.2;520.8;497.4;443.3
South Carolina;500.8;506.1;506.8;504.5;497.8
South Dakota;396.4;429.8;422.0;383.1;328.3
Michigan;452.5;449.9;460.9;415.5;429.1
Montana;380.9;373.9;374.1;349.6;328.5
Nevada;552.1;560.6;677.9;695.9;635.7
Oklahoma;474.6;457.4;455.3;422.0;413.8
Alabama;523.1;522.4;532.4;472.4;427.7
Texas;412.9;437.8;433.8;412.2;406.7
California;447.5;453.3;444.8;426.3;396.4
Delaware;422.5;457.3;510.0;499.0;488.1
Illinois;411.4;436.2;436.7;383.8;370.9
Kansas;441.8;400.4;401.2;389.9;352.6
Colorado;401.5;372.2;344.1;321.0;307.8
North Carolina;356.2;370.4;371.8;347.0;329.1
Georgia;338.9;356.5;390.4;378.3;385.8
Maryland;469.4;503.3;481.7;457.2;448.0
Pennsylvania;305.4;313.0;315.9;315.1;315.0
Florida;385.9;408.1;429.4;461.9;458.9
New York;350.8;361.1;374.6;379.7;384.7
Indiana;373.5;395.0;399.7;387.5;365.3
West Virginia;299.9;361.2;362.7;337.9;316.4
Nebraska;289.9;311.8;296.8;274.9;276.2
North Dakota;284.1;282.5;252.1;239.4;270.4
Wisconsin;299.0;321.8;306.9;305.8;291.1
Ohio;294.8;296.8;307.7;291.9;285.7
Massachusetts;340.3;354.3;380.7;390.9;395.1
Iowa;263.7;287.5;292.9;286.1;272.8
Washington;315.3;302.8;303.5;284.4;285.8
Oregon;290.4;280.4;268.8;259.8;259.2
Mississippi;266.0;256.2;281.7;275.8;278.3
Minnesota;221.2;239.7;241.9;242.6;229.1
Utah;239.4;242.2;243.3;236.0;219.5
Kentucky;217.9;231.1;235.6;218.7;215.2
Hawaii;255.0;251.2;241.6;293.4;236.7
Idaho;239.7;239.2;230.7;215.6;210.4
Wyoming;213.8;234.6;244.7;222.1;195.4
Rhode Island;219.8;234.2;239.1;242.5;219.9
Virginia;204.2;210.4;219.8;195.6;198.4
New Jersey;208.6;231.8;243.5;255.4;260.9
Connecticut;209.6;229.2;227.7;218.5;238.5
Vermont;185.0;173.3;136.5;118.0;102.6
Puerto Rico;200.9;232.6;224.4;219.6;237.2
New Hampshire;177.6;195.7;199.8;199.3;197.7
Maine;112.0;120.6;124.0;130.1;127.6
United States;383.4;394.0;397.5;383.2;372.0