State;2018;2017;2016;2015;2014
Alabama;25.5;25.5;24.7;24.2;23.5
  Alaska;30.2;28.8;29.6;29.7;28.0
  Arizona;29.7;29.4;28.9;27.7;27.6
  Arkansas;23.3;23.4;22.4;21.8;21.4
  California;34.2;33.6;32.9;32.3;31.7
  Colorado;41.7;41.2;39.9;39.2;38.3
  Connecticut;39.6;38.7;38.6;38.3;38.0
  Delaware;31.3;31.5;31.0;30.9;30.6
  District of Columbia;60.4;57.3;56.8;56.7;55.0
  Florida;30.4;29.7;28.6;28.4;27.3
  Georgia;31.9;30.9;30.5;29.9;29.1
  Hawaii;33.5;32.9;31.9;31.4;31.0
  Idaho;27.7;26.8;27.6;26.0;25.0
  Illinois;35.1;34.4;34.0;32.9;32.8
  Indiana;27.1;26.8;25.6;24.9;24.7
  Iowa;29.0;28.9;28.4;26.8;27.7
  Kansas;33.8;33.7;32.8;31.7;31.5
  Kentucky;24.8;24.0;23.4;23.3;22.2
  Louisiana;24.3;23.8;23.4;23.2;22.9
  Maine;31.5;32.1;30.1;30.1;29.4
  Maryland;40.8;39.7;39.3;38.8;38.2
  Massachusetts;44.5;43.4;42.7;41.5;41.2
  Michigan;29.6;29.1;28.3;27.8;27.4
  Minnesota;36.7;36.1;34.8;34.7;34.3
  Mississippi;23.2;21.9;21.8;20.8;21.1
  Missouri;29.5;29.1;28.5;27.8;27.5
  Montana;31.7;32.3;31.0;30.6;29.3
  Nebraska;32.4;31.7;31.4;30.2;29.5
  Nevada;24.9;24.9;23.5;23.6;23.1
  New Hampshire;36.8;36.9;36.6;35.7;35.0
  New Jersey;40.8;39.7;38.6;37.6;37.4
  New Mexico;27.7;27.1;27.2;26.5;26.4
  New York;37.2;36.0;35.7;35.0;34.5
  North Carolina;31.9;31.3;30.4;29.4;28.7
  North Dakota;29.7;30.7;29.6;29.1;27.4
  Ohio;29.0;28.0;27.5;26.8;26.6
  Oklahoma;25.6;25.5;25.2;24.6;24.2
  Oregon;34.0;33.7;32.7;32.2;30.8
  Pennsylvania;31.8;31.4;30.8;29.7;29.0
  Rhode Island;34.4;33.5;34.1;32.7;30.4
  South Carolina;28.3;28.0;27.2;26.8;26.3
  South Dakota;29.2;28.1;28.9;27.5;27.8
  Tennessee;27.5;27.3;26.1;25.7;25.3
  Texas;30.3;29.6;28.9;28.4;27.8
  Utah;34.9;34.6;32.6;31.8;31.1
  Vermont;38.7;38.3;36.4;36.9;34.9
  Virginia;39.3;38.7;38.1;37.0;36.7
  Washington;36.7;35.5;35.1;34.2;33.1
  West Virginia;21.3;20.2;20.8;19.6;19.2
  Wisconsin;30.0;30.4;29.5;28.4;28.4
  Wyoming;26.9;27.6;27.1;26.2;26.6